console,genre,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year
PS3,Sports,9.0,2.55,0.43,0.05,1.68,0.38,2015
X360,Sports,8.5,2.54,2.21,0.04,0.12,0.2,2008
PS2,Racing,8.2,2.52,1.13,0.06,1.12,0.22,2001
PS3,Action,8.9,2.51,0.6,0.08,1.45,0.38,2013
PS3,Racing,8.3,2.5,1.59,0.05,0.54,0.33,2008
PS2,Sports,7.5,2.5,0.13,0.26,0.07,2.05,2008
X360,Role-Playing,8.3,2.5,2.29,0.04,0.02,0.19,2006
XB,Action,9.8,2.49,1.84,0.04,0.56,0.09,2003
PS2,Fighting,8.2,2.49,1.81,0.04,0.52,0.15,2002
Wii,Misc,2.6,2.49,1.47,0.04,0.77,0.24,2007
PS4,Sports,7.5,2.49,1.49,0.01,0.55,0.44,2014
PS3,Action,8.3,2.48,0.86,0.18,1.06,0.37,2011
PS,Action,7.5,2.48,1.15,0.06,1.14,0.13,1999
XOne,Sports,8.4,2.47,2.13,0.04,0.08,0.26,2015
X360,Misc,9.1,2.47,1.93,0.04,0.33,0.21,2007
XOne,Action,7.5,2.47,1.34,0.04,0.92,0.22,2017
PSV,Misc,7.5,2.47,0.22,1.25,0.73,0.27,2014
X360,Racing,8.3,2.47,1.38,0.0,0.84,0.25,2008
Wii,Adventure,7.9,2.45,1.29,0.04,0.94,0.22,2010
PS4,Action,7.5,2.45,1.18,0.13,0.74,0.4,2015
XOne,Sports,8.1,2.44,2.14,0.04,0.04,0.26,2016
PS,Racing,8.7,2.44,2.12,0.04,0.25,0.07,1996
Wii,Misc,7.5,2.44,1.65,0.04,0.58,0.21,2010
PS2,Simulation,7.5,2.43,1.07,0.04,1.19,0.18,2003
X360,Shooter,8.2,2.42,1.56,0.02,0.61,0.23,2008
DC,Platform,8.9,2.42,1.26,0.46,0.61,0.08,1999
PSP,Racing,7.4,2.42,0.87,0.04,0.97,0.58,2006
X360,Shooter,8.0,2.41,1.44,0.04,0.71,0.22,2011
X360,Action-Adventure,8.5,2.41,1.73,0.02,0.43,0.23,2011
PS2,Racing,7.5,2.41,0.69,0.04,0.0,1.68,2007
PS3,Sports,6.0,2.41,0.29,0.54,1.18,0.41,2010
XOne,Sports,8.3,2.41,2.01,0.04,0.15,0.25,2015
PS2,Racing,8.4,2.41,2.07,0.04,0.26,0.08,2001
XOne,Racing,7.5,2.4,1.28,0.01,0.9,0.21,2013
PS3,Action-Adventure,7.5,2.4,1.08,0.04,0.88,0.4,2013
X360,Racing,8.0,2.4,1.72,0.01,0.45,0.22,2008
PS,Puzzle,7.5,2.4,2.1,0.04,0.24,0.07,1996
PS3,Sports,8.4,2.4,2.05,0.04,0.15,0.2,2010
PC,Strategy,5.5,2.4,2.3,0.04,0.1,0.01,1997
X360,Sports,7.5,2.39,1.74,0.04,0.45,0.2,2010
GBA,Adventure,6.7,2.39,2.15,0.04,0.18,0.07,2001
PC,Misc,7.5,2.39,1.49,0.04,0.81,0.1,1995
